Player	Pos	Team	Bye Week	Depth Chart	2025 Projected Fantasy Points	VBD	Week 1	Week 2	Week 3	Week 4	Week 5	Week 6	Week 7	Week 8	Week 9	Week 10	Week 11	Week 12	Week 13	Week 14	Week 15	Week 16	Week 17	Week 18
Josiah Deguara	TE	ARI	8		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Albert Okwuegbunam Jr.	TE	LV	8		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sean McKeon	TE	IND	11		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Matt Sokol	TE	BUF	7		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Shane Zylstra	TE	DET	8	TE3	0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Tyler Mabry	TE	CAR	14		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Ko Kieft	TE	TB	9		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Cole Turner	TE	WAS	12		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
John FitzPatrick	TE	GB	5		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Nick Muse	TE	PHI	9		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Jake Tonges	TE	SF	14		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Nikola Kalinic	TE	ATL	5		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Cameron Latu	TE	PHI	9		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Justin Shorter	TE	LV	8		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Zack Kuntz	TE	NYJ	9		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Princeton Fant	TE	DAL	10		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Cole Fotheringham	TE	NE	14		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
John Stephens Jr.	TE	DAL	10		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Colson Yankoff	TE	WAS	12		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Thomas Odukoya	TE	TEN	10		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
E.J. Jenkins	TE	PHI	9		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Baylor Cupp	TE	BAL	7		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Jack Westover	TE	NE	14		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Caleb Lohner	TE	DEN	12		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Dalton Keene	TE	HOU	6		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Mitchell Wilcox	TE	MIA	12		0.00	-173.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Mack Hollins	WR	NE	14	WR7	30.04	-173.45	2.01	1.93	2.05	2.20	2.10	2.28	1.90	2.25	2.35	2.34	1.93	1.97	2.11	0.00	2.10	2.26	1.93	1.93
Trey Sermon	RB	PIT	5		6.03	-173.87	0.33	0.37	0.41	0.32	0.00	0.32	0.37	0.37	0.40	0.31	0.37	0.42	0.41	0.32	0.35	0.33	0.32	0.32
Zonovan Knight	RB	ARI	8		5.84	-174.06	0.36	0.44	0.38	0.33	0.35	0.35	0.33	0.00	0.34	0.33	0.38	0.39	0.29	0.32	0.26	0.32	0.33	0.32
Jamari Thrash	WR	CLE	9	WR4	29.37	-174.12	0.46	0.53	0.44	0.56	0.57	0.48	0.45	0.48	0.00	0.45	0.53	0.47	0.46	0.44	0.43	0.49	0.48	0.46
Elijah Dotson	RB	ATL	5		5.70	-174.20	0.27	0.27	0.41	0.34	0.00	0.34	0.35	0.30	0.34	0.33	0.41	0.34	0.28	0.31	0.27	0.34	0.30	0.34
Jha'Quan Jackson	WR	TEN	10		29.20	-174.29	1.64	1.60	1.72	1.68	1.67	1.62	1.68	1.72	1.72	0.00	1.68	1.74	1.87	1.82	1.59	1.72	1.84	1.87
Arian Smith	WR	NYJ	9	WR7	29.18	-174.31	2.27	2.33	2.60	2.14	2.53	2.25	2.44	2.18	0.00	2.49	2.31	2.51	2.60	2.14	2.56	2.53	2.31	2.33
