Player	Team	CMP	PassATT	PassATTPCT	PassATTYDS	PassATTY/A	PassATTTD	INT	SACKS	RushATT	RushYDS	TD	FL	G
Hendon Hooker	DET	6	9	66.7	62	6.9	0	0	1	5	2	0	0	3
Feleipe Franks	CAR	0	0	0	0	0	0	0	0	0	0	0	0	9
Nick Mullens	MIN	2	2	100	38	19	0	0	0	3	-2	0	0	4
Mike White	BUF	3	11	27.3	28	2.5	0	0	0	0	0	0	0	1
Kyle Allen	PIT	1	1	100	19	19	0	0	0	0	0	0	0	1
Josh Johnson	BAL	2	3	66.7	17	5.7	0	0	1	4	1	0	0	4
Jarrett Stidham	DEN	0	0	0	0	0	0	0	0	4	5	0	0	3
Chris Oladokun	KC	0	0	0	0	0	0	0	1	1	5	0	0	1
Sam Howell	SEA	5	14	35.7	24	1.7	0	1	4	1	2	0	0	1
Trevor Siemian	TEN	0	0	0	0	0	0	0	0	0	0	0	0	1
Jeff Driskel	WAS	0	0	0	0	0	0	0	0	0	0	0	0	1
C.J. Beathard	JAC	0	0	0	0	0	0	0	0	0	0	0	0	1
Jake Luton	CAR	0	0	0	0	0	0	0	0	0	0	0	0	1
Emory Jones	ATL	0	0	0	0	0	0	0	0	0	0	0	0	1
Jaren Hall	SEA	0	0	0	0	0	0	0	0	0	0	0	0	1
Sam Hartman	WAS	0	0	0	0	0	0	0	0	0	0	0	0	2
Jordan Travis	NYJ	0	0	0	0	0	0	0	0	0	0	0	0	1
Austin Reed	CHI	0	0	0	0	0	0	0	0	0	0	0	0	1
Jake Browning	CIN	0	0	0	0	0	0	0	0	2	-2	0	0	3
Kyle Trask	TB	1	1	100	5	5	0	0	0	5	-4	0	0	4
Tyson Bagent	CHI	2	2	100	11	5.5	0	0	0	6	-7	0	0	4
Clayton Tune	ARI	2	2	100	8	4	0	0	0	7	-4	0	1	6
