Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Joshua Palmer	LAC	65	13.1	39	584	15	10	1	0	0	0	0	15
Devaughn Vele	DEN	55	9.8	41	475	11.6	7	3	0	0	0	0	13
Christian Watson	GB	53	11.4	29	620	21.4	12	2	4	23	0	1	15
KaVontae Turpin	DAL	52	8.3	31	420	13.5	6	2	16	92	0	1	17
Jalen Nailor	MIN	42	8.4	28	414	14.8	8	6	3	-4	0	1	17
Tutu Atwell	LAR	62	11.7	42	562	13.4	10	0	2	7	0	0	17
Mack Hollins	BUF	50	10	31	378	12.2	4	5	0	0	0	0	17
Parker Washington	JAC	51	9.8	32	390	12.2	6	3	0	0	0	0	17
Ricky Pearsall	SF	46	9.1	31	400	12.9	5	3	3	45	0	0	11
Jalen Coker	CAR	46	9.2	32	478	14.9	6	2	0	0	0	0	11
Tim Patrick	DET	44	8.6	33	394	11.9	6	3	0	0	0	0	16
Greg Dortch	ARI	50	9.8	37	342	9.2	2	3	5	31	0	1	17
Diontae Johnson	HOU	67	13	33	375	11.4	5	3	2	6	0	0	11
Noah Brown	WAS	56	11.2	35	453	12.9	4	1	0	0	0	0	11
David Moore	CAR	57	11.3	32	351	11	2	3	1	0	0	0	17
Marquez Valdes-Scantling	NO	44	8.7	19	411	21.6	8	4	1	4	0	0	13
Cedric Tillman	CLE	49	7.7	29	339	11.7	6	3	1	-5	0	1	11
Sterling Shepard	TB	51	9.1	32	334	10.4	4	1	8	69	0	0	14
Rashid Shaheed	NO	41	8	20	349	17.5	5	3	6	29	0	1	6
Tyler Boyd	TEN	57	11.4	39	390	10	4	0	1	3	0	0	15
Chris Olave	NO	44	8.6	32	400	12.5	4	1	1	7	0	1	8
Christian Kirk	JAC	47	9.1	27	379	14	7	1	0	0	0	0	8
Brandin Cooks	DAL	54	8.7	26	259	10	3	3	3	-3	0	0	10
Dyami Brown	WAS	40	8	30	308	10.3	5	1	3	26	0	1	15
Troy Franklin	DEN	53	9.6	28	263	9.4	5	2	2	8	0	0	16
Kendrick Bourne	NE	38	7.6	28	305	10.9	2	1	1	6	0	0	12
Rashee Rice	KC	29	5.2	24	288	12	3	2	1	1	0	0	4
Lil'Jordan Humphrey	DEN	45	8.2	31	293	9.5	5	1	0	0	0	1	14
Curtis Samuel	BUF	46	9.2	31	253	8.2	2	1	5	14	0	0	14
Van Jefferson	PIT	40	8.8	24	276	11.5	4	2	0	0	0	0	15
Justin Watson	KC	32	5.9	22	289	13.1	2	2	0	0	0	0	16
Brandon Aiyuk	SF	47	9.2	25	374	15	5	0	0	0	0	0	7
Tyler Johnson	LAR	41	7.6	26	291	11.2	4	1	0	0	0	0	11
Mike Williams	PIT	34	6.3	21	298	14.2	6	1	0	0	0	0	14
Kalif Raymond	DET	22	4.4	17	215	12.6	3	2	2	0	0	0	12
John Metchie III	HOU	37	6.7	24	254	10.6	3	1	0	0	0	0	13
Malik Washington	MIA	36	6.5	26	223	8.6	2	0	5	25	1	1	14
Gabe Davis	JAC	42	8.1	20	239	12	6	2	0	0	0	1	10
Adonai Mitchell	IND	55	11	23	312	13.6	4	0	4	6	0	1	17
JuJu Smith-Schuster	KC	26	4.8	18	231	12.8	3	2	0	0	0	0	14
Jordan Whittington	LAR	28	5.2	22	293	13.3	4	0	2	12	0	0	15
Cedrick Wilson Jr.	NO	27	5.4	20	211	10.6	1	1	0	0	0	1	15
Nelson Agholor	BAL	29	6.3	14	231	16.5	5	2	0	0	0	0	13
DJ Turner	LV	29	5.1	16	158	9.9	2	1	5	33	1	0	13
Jahan Dotson	PHI	33	7.6	19	216	11.4	2	0	1	13	0	0	17
Derius Davis	LAC	17	3.4	13	112	8.6	1	2	12	39	0	0	15
Josh Reynolds	JAC	24	4.6	13	194	14.9	4	1	0	0	0	0	8
Robert Woods	HOU	30	5.5	20	203	10.2	2	0	0	0	0	1	14
Ryan Miller	TB	20	3.6	12	128	10.7	2	2	0	0	0	0	11
Tylan Wallace	BAL	12	2.5	11	193	17.5	2	1	0	0	0	0	17
Jalen Brooks	DAL	30	5.1	12	177	14.8	2	1	0	0	0	0	14
Trey Palmer	TB	22	4	12	172	14.3	2	1	0	0	0	0	15
Luke McCaffrey	WAS	24	4.8	18	168	9.3	2	0	0	0	0	0	17
Mecole Hardman Jr.	KC	14	2.5	12	90	7.5	0	0	5	62	1	0	12
Ja'Lynn Polk	NE	33	6.6	12	87	7.3	1	2	1	0	0	0	15
Jonathan Mingo	DAL	42	7.7	17	167	9.8	2	0	2	5	0	1	16
KhaDarel Hodge	ATL	12	2.3	7	131	18.7	3	1	0	0	0	0	16
Dante Pettis	NO	28	5.6	12	120	10	1	1	0	0	0	0	8
Malik Heath	GB	13	2.7	10	97	9.7	1	2	0	0	0	0	12
Jake Bobo	SEA	17	3.2	13	107	8.2	0	1	0	0	0	0	17
Kevin Austin Jr.	NO	22	4.4	11	151	13.7	2	0	1	9	0	0	8
Bub Means	NO	15	2.9	9	118	13.1	1	1	0	0	0	0	7
Jamison Crowder	WAS	13	2.6	9	72	8	0	2	0	0	0	1	5
Mason Tipton	NO	26	5.1	14	99	7.1	0	0	0	0	0	0	11
Xavier Hutchinson	HOU	26	4.8	12	117	9.8	0	0	0	0	0	0	16
Bo Melton	GB	17	3.5	8	91	11.4	1	0	8	54	0	0	17
