Player	Team	Games	Boom	Top 6	Top 12	Bust	Other
Brock Bowers	LV	16	25%	50%	69%	25%	6%
George Kittle	SF	14	43%	64%	79%	14%	7%
Trey McBride	ARI	15	27%	47%	73%	20%	7%
Jonnu Smith	MIA	16	31%	31%	63%	31%	6%
Travis Kelce	KC	16	25%	38%	50%	44%	6%
Mark Andrews	BAL	16	6%	31%	50%	31%	19%
Zach Ertz	WAS	16	6%	19%	44%	44%	13%
Sam LaPorta	DET	15	0%	33%	47%	33%	20%
Tucker Kraft	GB	16	6%	19%	44%	50%	6%
David Njoku	CLE	11	18%	45%	55%	36%	9%
Pat Freiermuth	PIT	16	0%	13%	38%	50%	13%
Hunter Henry	NE	16	0%	13%	44%	44%	13%
Cade Otton	TB	14	14%	21%	29%	43%	29%
Kyle Pitts Sr.	ATL	16	6%	13%	31%	56%	13%
Mike Gesicki	CIN	16	6%	19%	25%	63%	13%
Cole Kmet	CHI	16	13%	13%	19%	69%	13%
Isaiah Likely	BAL	15	7%	13%	27%	60%	13%
Chig Okonkwo	TEN	16	0%	6%	25%	63%	13%
Noah Gray	KC	16	6%	13%	19%	69%	13%
Tyler Conklin	NYJ	15	7%	7%	40%	60%	0%
Dalton Schultz	HOU	16	0%	13%	13%	69%	19%
Juwan Johnson	NO	16	0%	0%	25%	69%	6%
Taysom Hill	NO	8	13%	25%	38%	50%	13%
Austin Hooper	NE	16	0%	6%	13%	69%	19%
Jake Ferguson	DAL	13	0%	8%	31%	54%	15%
Dalton Kincaid	BUF	13	0%	0%	23%	54%	23%
Foster Moreau	NO	16	0%	0%	19%	69%	13%
Will Dissly	LAC	14	0%	14%	14%	71%	14%
Dallas Goedert	PHI	9	11%	11%	44%	44%	11%
Evan Engram	JAC	9	0%	11%	44%	33%	22%
Noah Fant	SEA	13	0%	0%	15%	69%	15%
T.J. Hockenson	MIN	9	0%	22%	33%	44%	22%
Brenton Strange	JAC	16	0%	6%	19%	69%	13%
Jordan Akins	CLE	16	0%	0%	13%	81%	6%
Theo Johnson	NYG	12	0%	0%	8%	75%	17%
Ja'Tavion Sanders	CAR	15	0%	0%	13%	73%	13%
AJ Barner	SEA	16	0%	0%	6%	81%	13%
Colby Parkinson	LAR	16	0%	0%	6%	81%	13%
Josh Oliver	MIN	14	0%	7%	14%	71%	14%
Dawson Knox	BUF	16	0%	0%	0%	94%	6%
Grant Calcaterra	PHI	16	0%	0%	13%	81%	6%
Luke Schoonmaker	DAL	16	0%	0%	13%	75%	13%
Josh Whyle	TEN	16	0%	0%	6%	88%	6%
Elijah Higgins	ARI	16	0%	0%	0%	94%	6%
Tommy Tremble	CAR	11	0%	0%	9%	91%	0%
Johnny Mundt	MIN	16	0%	0%	0%	94%	6%
Darnell Washington	PIT	16	0%	0%	0%	100%	0%
Nick Vannett	TEN	16	0%	0%	6%	88%	6%
Adam Trautman	DEN	16	0%	6%	6%	88%	6%
Nate Adkins	DEN	16	0%	0%	0%	88%	13%
Tanner Hudson	CIN	10	0%	10%	10%	90%	0%
Erick All Jr.	CIN	9	0%	0%	0%	100%	0%
Brock Wright	DET	16	0%	0%	0%	100%	0%
Stone Smartt	LAC	14	0%	0%	0%	93%	7%
Cade Stover	HOU	14	0%	0%	7%	93%	0%
Lucas Krull	DEN	12	0%	0%	0%	100%	0%
Mo Alie-Cox	IND	16	0%	0%	6%	94%	0%
Drew Sample	CIN	16	0%	0%	6%	94%	0%
Kylen Granson	IND	16	0%	0%	0%	100%	0%
Michael Mayer	LV	10	0%	0%	10%	90%	0%
Charlie Kolar	BAL	12	0%	8%	8%	92%	0%
Jeremy Ruckert	NYJ	16	0%	0%	0%	100%	0%
Payne Durham	TB	15	0%	0%	7%	93%	0%
Daniel Bellinger	NYG	16	0%	0%	0%	94%	6%
Drew Ogletree	IND	16	0%	0%	0%	94%	6%
Julian Hill	MIA	15	0%	0%	0%	100%	0%
Eric Saubert	SF	16	0%	0%	0%	100%	0%
Brevyn Spann-Ford	DAL	16	0%	0%	0%	94%	6%
Harrison Bryant	LV	12	0%	0%	0%	100%	0%
Luke Farrell	JAC	16	0%	0%	0%	100%	0%
MyCole Pruitt	PIT	11	0%	0%	0%	100%	0%
Connor Heyward	PIT	16	0%	0%	0%	94%	6%
Blake Whiteheart	CLE	10	0%	0%	0%	90%	10%
Hayden Hurst	LAC	8	0%	0%	0%	100%	0%
John Bates	WAS	16	0%	0%	0%	100%	0%
Durham Smythe	MIA	16	0%	0%	0%	100%	0%
Ben Sinnott	WAS	16	0%	0%	0%	94%	6%
Hunter Long	LAR	16	0%	0%	0%	100%	0%
Pharaoh Brown	SEA	14	0%	0%	0%	100%	0%
Kenny Yeboah	NYJ	8	0%	0%	0%	100%	0%
Gerald Everett	CHI	16	0%	0%	0%	100%	0%
Charlie Woerner	ATL	15	0%	0%	0%	100%	0%
Tyler Higbee	LAR	2	0%	0%	0%	100%	0%
Tucker Fisk	LAC	8	0%	0%	0%	100%	0%
Davis Allen	LAR	13	0%	0%	0%	92%	8%
Tip Reiman	ARI	16	0%	0%	0%	100%	0%
Quintin Morris	BUF	15	0%	0%	0%	100%	0%
Chris Manhertz	NYG	16	0%	0%	0%	100%	0%
Luke Musgrave	GB	6	0%	0%	0%	100%	0%
Ben Sims	GB	16	0%	0%	0%	100%	0%
Devin Culp	TB	4	0%	0%	0%	75%	25%
Greg Dulcich	NYG	8	0%	0%	0%	100%	0%
