Player	Team	Games	Boom	Top 6	Top 12	Bust	Other
Lamar Jackson	BAL	16	31%	56%	88%	0%	13%
Josh Allen	BUF	16	25%	44%	75%	25%	0%
Joe Burrow	CIN	16	31%	44%	69%	19%	13%
Jayden Daniels	WAS	16	25%	44%	75%	25%	0%
Baker Mayfield	TB	16	38%	44%	69%	19%	13%
Jared Goff	DET	16	13%	38%	50%	31%	19%
Jalen Hurts	PHI	15	20%	40%	53%	13%	33%
Sam Darnold	MIN	16	6%	13%	63%	19%	19%
Bo Nix	DEN	16	13%	13%	50%	31%	19%
Patrick Mahomes 	IKC	16	6%	25%	31%	31%	38%
Kyler Murray	ARI	16	13%	19%	44%	38%	19%
Brock Purdy	SF	15	7%	33%	60%	20%	20%
Justin Herbert	LAC	16	0%	19%	38%	56%	6%
Geno Smith	SEA	16	0%	6%	31%	50%	19%
Caleb Williams	CHI	16	6%	19%	38%	56%	6%
Jordan Love	GB	14	7%	14%	36%	43%	21%
Aaron Rodgers	NYJ	16	6%	6%	25%	38%	38%
C.J. Stroud	HOU	16	0%	0%	13%	63%	25%
Matthew Stafford	LAR	16	0%	13%	31%	56%	13%
Kirk Cousins	ATL	14	14%	14%	14%	71%	14%
Tua Tagovailoa	MIA	11	9%	18%	36%	45%	18%
Drake Maye	NE	13	0%	0%	31%	46%	23%
Anthony Richardson Sr.	IND	11	0%	18%	36%	55%	9%
Bryce Young	CAR	13	0%	8%	15%	62%	23%
Russell Wilson	PIT	10	0%	20%	30%	40%	30%
Derek Carr	NO	10	0%	0%	30%	60%	10%
Trevor Lawrence	JAC	10	0%	10%	30%	50%	20%
Jameis Winston	CLE	12	8%	17%	25%	67%	8%
Daniel Jones	MIN	10	0%	10%	30%	60%	10%
Dak Prescott	DAL	8	13%	13%	13%	50%	38%
Justin Fields	PIT	10	10%	20%	30%	60%	10%
Will Levis	TEN	11	0%	0%	9%	55%	36%
Cooper Rush	DAL	12	0%	0%	8%	67%	25%
Gardner Minshew 	ILV	10	0%	0%	10%	70%	20%
Mason Rudolph	TEN	7	0%	0%	14%	43%	43%
Joe Flacco	IND	7	0%	14%	14%	57%	29%
Mac Jones	JAC	9	0%	0%	22%	67%	11%
#N/A	LV	8	0%	0%	13%	75%	13%
Deshaun Watson	CLE	7	0%	0%	0%	71%	29%
Drew Lock	NYG	6	17%	17%	17%	50%	33%
Andy Dalton	CAR	6	0%	17%	17%	50%	33%
Spencer Rattler	NO	6	0%	0%	0%	83%	17%
Tyler Huntley	MIA	4	0%	25%	25%	75%	0%
Malik Willis	GB	6	0%	17%	17%	83%	0%
Jacoby Brissett	NE	8	0%	0%	0%	100%	0%
Kenny Pickett	PHI	5	0%	0%	0%	80%	20%
Desmond Ridder	LV	4	0%	0%	0%	100%	0%
Michael Penix Jr.	ATL	4	0%	0%	0%	100%	0%
Dorian Thompson-Robinson	CLE	6	0%	0%	0%	100%	0%
Tyrod Taylor	NYJ	2	0%	0%	0%	100%	0%
Marcus Mariota	WAS	2	0%	0%	50%	50%	0%
Tim Boyle	NYG	3	0%	0%	0%	100%	0%
Jake Haener	NO	8	0%	0%	0%	100%	0%
Tommy DeVito	NYG	3	0%	0%	0%	100%	0%
Tanner McKee	PHI	1	0%	0%	0%	100%	0%
Brandon Allen	SF	3	0%	0%	0%	100%	0%
Joshua Dobbs	SF	2	0%	0%	0%	100%	0%
Skylar Thompson	MIA	3	0%	0%	0%	100%	0%
Mitchell Trubisky	BUF	8	0%	0%	0%	100%	0%
Davis Mills	HOU	3	0%	0%	0%	100%	0%
Taylor Heinicke	LAC	4	0%	0%	0%	100%	0%
Hendon Hooker	DET	3	0%	0%	0%	100%	0%
Trey Lance	DAL	3	0%	0%	0%	100%	0%
Nick Mullens	MIN	4	0%	0%	0%	100%	0%
Carson Wentz	KC	2	0%	0%	0%	100%	0%
Josh Johnson	BAL	5	0%	0%	0%	100%	0%
Kyle Allen	PIT	1	0%	0%	0%	100%	0%
Sam Howell	SEA	3	0%	0%	0%	100%	0%
Feleipe Franks	CAR	14	0%	0%	0%	100%	0%
Jeff Driskel	WAS	2	0%	0%	0%	100%	0%
Austin Reed	CHI	1	0%	0%	0%	100%	0%
Jake Luton	LV	1	0%	0%	0%	100%	0%
Sam Hartman	WAS	2	0%	0%	0%	100%	0%
Jordan Travis	NYJ	1	0%	0%	0%	100%	0%
Jaren Hall	SEA	1	0%	0%	0%	100%	0%
Trevor Siemian	TEN	1	0%	0%	0%	100%	0%
C.J. Beathard	JAC	1	0%	0%	0%	100%	0%
Emory Jones	ATL	1	0%	0%	0%	100%	0%
Kyle Trask	TB	4	0%	0%	0%	100%	0%
Jarrett Stidham	DEN	2	0%	0%	0%	100%	0%
Jake Browning	CIN	3	0%	0%	0%	100%	0%
Tyson Bagent	CHI	4	0%	0%	0%	100%	0%
Clayton Tune	ARI	5	0%	0%	0%	100%	0%
