Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Durham Smythe	MIA	17	3.3	9	53	5.9	0	0	0	0	0	0	14
Ben Sinnott	WAS	5	1	5	28	5.6	0	1	0	0	0	0	17
Devin Culp	TB	6	1.1	5	88	17.6	2	0	0	0	0	0	5
Hunter Long	LAR	9	1.8	7	60	8.6	0	0	0	0	0	0	11
Pharaoh Brown	SEA	12	2.4	8	65	8.1	0	0	0	0	0	1	10
Chris Manhertz	NYG	4	0.8	3	30	10	0	1	0	0	0	0	17
Gerald Everett	CHI	13	2.6	8	36	4.5	0	0	0	0	0	0	10
Charlie Woerner	ATL	12	2.4	7	46	6.6	0	0	0	0	0	0	16
Luke Musgrave	GB	10	2	7	45	6.4	0	0	0	0	0	0	7
Tucker Fisk	LAC	8	1.6	7	39	5.6	0	0	0	0	0	0	9
Peyton Hendershot	KC	5	1	5	51	10.2	0	0	0	0	0	0	5
Davis Allen	LAR	13	2.5	6	39	6.5	0	0	0	0	0	0	14
Tip Reiman	ARI	7	1.4	6	37	6.2	0	0	0	0	0	0	17
Ben Sims	GB	5	1	4	42	10.5	1	0	0	0	0	0	17
Greg Dulcich	NYG	12	2.2	5	28	5.6	0	0	0	0	0	0	9
Cam Grandy	CIN	5	0.9	5	28	5.6	0	0	0	0	0	0	8
E.J. Jenkins	PHI	2	0.4	1	7	7	0	1	0	0	0	0	8
Will Mallory	IND	8	1.6	4	29	7.3	0	0	0	0	0	0	10
Dallin Holker	NO	4	0.8	3	21	7	0	0	0	0	0	0	12
Tanner Conner	MIA	4	0.8	3	16	5.3	0	0	0	0	0	0	7
Josiah Deguara	JAC	3	0.6	3	14	4.7	0	0	0	0	0	0	7
Jaheim Bell	NE	3	0.6	2	20	10	0	0	0	0	0	0	13
Ian Thomas	CAR	6	1.2	3	7	2.3	0	0	0	0	0	0	3
Shane Zylstra	DET	1	0.2	1	22	22	1	0	0	0	0	0	12
Jack Stoll	PHI	3	0.7	2	10	5	0	0	0	0	0	0	5
Eric Tomlinson	LAC	4	0.8	2	9	4.5	0	0	0	0	0	0	5
Brevin Jordan	HOU	3	0.6	2	7	3.5	0	0	0	0	0	0	2
Geoff Swaim	CLE	1	0.2	1	7	7	0	0	0	0	0	0	3
John Samuel Shenker	LV	1	0.2	1	7	7	0	0	0	0	0	0	3
Jared Wiley	KC	1	0.2	1	7	7	0	0	0	0	0	0	7
David Martin-Robinson	TEN	2	0.4	1	6	6	0	0	0	0	0	0	5
Ross Dwelley	ATL	1	0.2	1	5	5	0	0	0	0	0	0	4
Jody Fortson Jr.	KC	3	0.6	1	5	5	0	0	0	0	0	0	3
Zach Davidson	BUF	2	0.4	1	5	5	0	0	0	0	0	0	3
Marcedes Lewis	CHI	2	0.4	1	2	2	0	0	0	0	0	0	6
John FitzPatrick	GB	1	0.2	1	2	2	0	0	0	0	0	0	9
Jordan Matthews	CAR	1	0.2	0	0	0	0	0	0	0	0	0	2
C.J. Uzomah	PHI	0	0	0	0	0	0	0	0	0	0	0	2
James Winchester	KC	0	0	0	0	0	0	0	0	0	0	0	2
Patrick Scales	CHI	0	0	0	0	0	0	0	0	0	0	0	1
Andrew DePaola	MIN	0	0	0	0	0	0	0	0	0	0	0	2
Zach Wood	NO	0	0	0	0	0	0	0	0	0	0	0	3
Anthony Firkser	KC	0	0	0	0	0	0	0	0	0	0	0	1
Irv Smith Jr.	HOU	0	0	0	0	0	0	0	0	0	0	0	5
Andrew Beck	HOU	2	0.4	0	0	0	0	0	0	0	0	0	2
Mitchell Fraboni	DEN	0	0	0	0	0	0	0	0	0	0	0	4
Matt Orzech	GB	0	0	0	0	0	0	0	0	0	0	0	2
Parker Hesse	DET	0	0	0	0	0	0	0	0	0	0	0	3
Stephen Sullivan	CAR	1	0.2	0	0	0	0	0	0	0	0	0	1
Feleipe Franks	CAR	3	0	1	12	12	0	0	0	0	0	0	9
Baylor Cupp	KC	1	0.2	0	0	0	0	0	0	0	0	0	1
Justin Shorter	LV	0	0	0	0	0	0	0	0	0	0	0	7
Teagan Quitoriano	HOU	0	0	0	0	0	0	0	0	0	0	0	1
Nick Muse	MIN	0	0	0	0	0	0	0	0	0	0	0	1
Ko Kieft	TB	0	0	0	0	0	0	0	0	0	0	0	17
Leroy Watson IV	TEN	0	0	0	0	0	0	0	0	0	0	0	3
Jake Tonges	SF	0	0	0	0	0	0	0	0	0	0	0	11
Rodney Williams	PIT	0	0	0	0	0	0	0	0	0	0	0	1
Thomas Odukoya	TEN	0	0	0	0	0	0	0	0	0	0	0	1
Zack Kuntz	NYJ	0	0	0	0	0	0	0	0	0	0	0	1
Brayden Willis	SF	2	0.4	0	0	0	0	0	0	0	0	0	9
Brady Russell	SEA	0	0	0	0	0	0	0	0	0	0	0	11
Travis Vokolek	ARI	0	0	0	0	0	0	0	0	0	0	0	1
Princeton Fant	DAL	0	0	0	0	0	0	0	0	0	0	0	5
Tanner McLachlan	CIN	0	0	0	0	0	0	0	0	0	0	0	2
Jack Westover	NE	0	0	0	0	0	0	0	0	0	0	0	2
Brenden Bates	CLE	1	0.2	0	0	0	0	0	0	0	0	0	2
Colson Yankoff	WAS	0	0	0	0	0	0	0	0	0	0	0	4
