Player	Team	Games	Boom	Top 12	Top 24	Top 36	Top 48	Bust	Other
Ja'Marr Chase	CIN	16	31%	50%	75%	94%	94%	0%	6%
Justin Jefferson	MIN	16	13%	50%	81%	88%	94%	6%	0%
Amon-Ra St. Brown	DET	16	19%	38%	63%	81%	94%	6%	0%
Brian Thomas Jr.	JAC	16	13%	38%	56%	75%	81%	19%	0%
CeeDee Lamb	DAL	15	13%	27%	67%	80%	87%	7%	7%
Malik Nabers	NYG	14	21%	36%	57%	86%	93%	0%	7%
Jaxon Smith-Njigba	SEA	16	6%	25%	44%	69%	75%	25%	0%
Terry McLaurin	WAS	16	13%	25%	69%	75%	75%	19%	6%
Garrett Wilson	NYJ	16	19%	19%	38%	69%	88%	13%	0%
Drake London	ATL	16	6%	6%	50%	69%	88%	6%	6%
Jerry Jeudy	CLE	16	13%	25%	31%	69%	75%	25%	0%
Ladd McConkey	LAC	15	13%	20%	47%	67%	73%	7%	20%
Mike Evans	TB	13	23%	46%	46%	62%	77%	15%	8%
Davante Adams	NYJ	13	23%	31%	46%	54%	85%	8%	8%
Courtland Sutton	DEN	16	6%	13%	56%	69%	75%	19%	6%
A.J. Brown	PHI	13	8%	38%	54%	85%	85%	8%	8%
DJ Moore	CHI	16	13%	19%	31%	56%	75%	19%	6%
Tyreek Hill	MIA	16	13%	19%	31%	63%	69%	25%	6%
Tee Higgins	CIN	11	27%	27%	64%	82%	82%	18%	0%
Jordan Addison	MIN	14	14%	21%	43%	57%	71%	29%	0%
Puka Nacua	LAR	11	18%	36%	73%	82%	82%	9%	9%
Zay Flowers	BAL	16	6%	19%	38%	50%	69%	25%	6%
Jameson Williams	DET	14	21%	29%	43%	71%	79%	14%	7%
DeVonta Smith	PHI	13	15%	31%	62%	69%	77%	23%	0%
Jauan Jennings	SF	14	21%	21%	29%	50%	71%	29%	0%
Nico Collins	HOU	11	18%	27%	64%	82%	100%	0%	0%
Darnell Mooney	ATL	16	6%	13%	31%	50%	63%	38%	0%
Jayden Reed	GB	16	13%	13%	31%	38%	63%	31%	6%
Jakobi Meyers	LV	14	0%	14%	43%	57%	86%	14%	0%
Calvin Ridley	TEN	16	13%	19%	25%	50%	63%	25%	13%
Xavier Worthy	KC	16	0%	19%	38%	50%	69%	31%	0%
Khalil Shakir	BUF	15	0%	7%	33%	53%	73%	27%	0%
Keenan Allen	CHI	14	14%	36%	36%	36%	43%	36%	21%
Marvin Harrison Jr.	ARI	16	6%	13%	44%	44%	50%	38%	13%
DK Metcalf	SEA	14	7%	14%	29%	43%	64%	14%	21%
Cooper Kupp	LAR	12	17%	33%	58%	58%	58%	33%	8%
Wan'Dale Robinson	NYG	16	0%	0%	19%	38%	63%	13%	25%
Josh Downs	IND	13	0%	15%	46%	62%	62%	38%	0%
George Pickens	PIT	13	0%	15%	38%	54%	69%	15%	15%
Rashod Bateman	BAL	16	0%	13%	25%	38%	44%	44%	13%
Deebo Samuel Sr.	SF	15	7%	13%	27%	40%	53%	47%	0%
Michael Pittman Jr.	IND	15	7%	7%	20%	33%	60%	33%	7%
Alec Pierce	IND	15	0%	20%	33%	33%	47%	53%	0%
DeAndre Hopkins	KC	16	6%	6%	13%	31%	50%	44%	6%
Quentin Johnston	LAC	14	0%	14%	29%	43%	57%	43%	0%
DeMario Douglas	NE	16	0%	6%	13%	31%	56%	38%	6%
Rome Odunze	CHI	16	0%	13%	19%	25%	44%	50%	6%
Jaylen Waddle	MIA	15	7%	13%	20%	27%	53%	33%	13%
Tank Dell	HOU	14	0%	7%	21%	29%	57%	29%	14%
Jalen Tolbert	DAL	16	0%	6%	6%	25%	44%	38%	19%
Chris Godwin Jr.	TB	7	29%	43%	57%	100%	100%	0%	0%
Romeo Doubs	GB	13	0%	0%	31%	31%	54%	31%	15%
Adam Thielen	CAR	9	11%	22%	44%	56%	78%	11%	11%
Ray-Ray McCloud	ATL	16	0%	0%	6%	25%	44%	50%	6%
Nick Westbrook-Ikhine	TEN	16	0%	6%	19%	31%	44%	50%	6%
Michael Wilson	ARI	16	0%	0%	0%	25%	38%	50%	13%
Tre Tucker	LV	16	0%	6%	19%	25%	31%	63%	6%
Amari Cooper	BUF	14	7%	7%	21%	29%	36%	43%	21%
Stefon Diggs	HOU	8	0%	13%	50%	75%	75%	0%	25%
Calvin Austin	PIT	16	0%	6%	19%	25%	38%	63%	0%
Xavier Legette	CAR	15	0%	0%	7%	27%	40%	47%	13%
Andrei Iosivas	CIN	16	0%	0%	6%	25%	31%	50%	19%
Jalen McMillan	TB	12	0%	17%	33%	33%	50%	50%	0%
Tyler Lockett	SEA	16	0%	0%	13%	25%	44%	56%	0%
Elijah Moore	CLE	16	0%	0%	19%	19%	31%	69%	0%
Demarcus Robinson	LAR	16	6%	6%	13%	25%	31%	63%	6%
Darius Slayton	NYG	15	7%	7%	13%	20%	40%	60%	0%
Allen Lazard	NYJ	11	9%	18%	18%	36%	55%	45%	0%
Marvin Mims Jr.	DEN	16	6%	6%	13%	19%	25%	69%	6%
Joshua Palmer	LAC	15	0%	0%	0%	13%	33%	60%	7%
Keon Coleman	BUF	12	0%	0%	17%	33%	50%	33%	17%
Christian Watson	GB	14	0%	0%	14%	21%	57%	36%	7%
Olamide Zaccheaus	WAS	16	0%	13%	13%	19%	19%	81%	0%
Dontayvion Wicks	GB	16	6%	6%	6%	19%	31%	63%	6%
Kayshon Boutte	NE	14	0%	7%	14%	14%	29%	57%	14%
KaVontae Turpin	DAL	16	0%	0%	6%	13%	19%	69%	13%
Jalen Nailor	MIN	16	0%	0%	6%	25%	31%	56%	13%
Mack Hollins	BUF	16	0%	0%	6%	19%	25%	63%	13%
Devaughn Vele	DEN	12	0%	0%	0%	33%	50%	50%	0%
Tutu Atwell	LAR	16	0%	0%	0%	19%	25%	63%	13%
Tim Patrick	DET	15	0%	7%	7%	13%	27%	67%	7%
Parker Washington	JAC	16	6%	6%	6%	19%	19%	69%	13%
Noah Brown	WAS	11	0%	0%	9%	18%	45%	55%	0%
Diontae Johnson	HOU	11	9%	18%	27%	27%	27%	73%	0%
Cedric Tillman	CLE	11	9%	9%	27%	27%	27%	64%	9%
Rashid Shaheed	NO	6	0%	17%	67%	67%	67%	17%	17%
Jalen Coker	CAR	10	0%	10%	20%	20%	30%	70%	0%
Tyler Boyd	TEN	16	0%	0%	0%	6%	13%	88%	0%
Marquez Valdes-Scantling	NO	13	8%	8%	15%	23%	38%	62%	0%
Sterling Shepard	TB	13	0%	0%	0%	0%	15%	54%	31%
David Moore	CAR	16	0%	6%	6%	13%	19%	75%	6%
Chris Olave	NO	8	0%	13%	38%	50%	50%	50%	0%
Ricky Pearsall	SF	10	10%	10%	20%	30%	30%	60%	10%
Christian Kirk	JAC	8	0%	0%	25%	38%	38%	50%	13%
