Player	Team	Games	Boom	Top 12	Top 24	Top 36	Bust	Other
Miles Sanders	DAL	4	0%	0%	0%	50%	50%	0%
Chris Brooks	GB	16	0%	0%	0%	0%	100%	0%
LeQuint Allen Jr.	JAC	16	0%	0%	0%	0%	100%	0%
Jaleel McLaughlin	DEN	7	0%	0%	0%	14%	86%	0%
Rasheen Ali	BAL	14	0%	0%	7%	7%	93%	0%
Antonio Gibson	NE	5	0%	0%	0%	40%	60%	0%
Dare Ogunbowale	HOU	16	0%	0%	0%	0%	88%	13%
George Holani	SEA	10	0%	0%	0%	10%	90%	0%
Jaret Patterson	LAC	5	0%	0%	20%	20%	80%	0%
Raheim Sanders	CLE	4	0%	0%	0%	0%	75%	25%
Adam Prentice	DEN	16	0%	0%	0%	0%	100%	0%
Braelon Allen	NYJ	4	0%	0%	0%	0%	50%	50%
Terrell Jennings	NE	6	0%	0%	17%	17%	83%	0%
Will Shipley	PHI	14	0%	0%	0%	0%	100%	0%
Trayveon Williams	CLE	6	0%	0%	0%	17%	83%	0%
Austin Ekeler	WAS	3	0%	0%	0%	33%	67%	0%
Alec Ingold	MIA	16	0%	0%	0%	0%	100%	0%
Trevor Etienne	CAR	16	0%	0%	0%	0%	100%	0%
Najee Harris	LAC	3	0%	0%	0%	0%	67%	33%
Hassan Haskins	LAC	12	0%	0%	0%	0%	100%	0%
Brittain Brown	CHI	2	0%	0%	0%	50%	50%	0%
Kene Nwangwu	NYJ	9	0%	0%	0%	0%	100%	0%
Kaleb Johnson	PIT	10	0%	0%	0%	0%	100%	0%
Jaydon Blue	DAL	4	0%	0%	0%	0%	100%	0%
C.J. Ham	MIN	10	0%	0%	0%	0%	100%	0%
AJ Dillon	PHI	6	0%	0%	0%	0%	100%	0%
Zamir White	LV	4	0%	0%	0%	0%	100%	0%
Cam Akers	SEA	3	0%	0%	0%	0%	100%	0%
DJ Giddens	IND	8	0%	0%	0%	0%	100%	0%
Tahj Brooks	CIN	12	0%	0%	0%	0%	100%	0%
Dylan Laube	LV	16	0%	0%	0%	0%	100%	0%
Evan Hull	NO	5	0%	0%	0%	0%	100%	0%
Tyler Goodson	IND	10	0%	0%	0%	0%	100%	0%
Ronnie Rivers	LAR	6	0%	0%	0%	0%	100%	0%
Corey Kiner	ARI	3	0%	0%	0%	0%	100%	0%
Clyde Edwards-Helaire	KC	2	0%	0%	0%	0%	100%	0%
Julius Chestnut	TEN	16	0%	0%	0%	0%	100%	0%
Nathan Carter	ATL	3	0%	0%	0%	0%	100%	0%
Dameon Pierce	KC	4	0%	0%	0%	0%	100%	0%
Ty Chandler	MIN	2	0%	0%	0%	0%	100%	0%
DeeJay Dallas	JAC	4	0%	0%	0%	0%	100%	0%
Jacardia Wright	SEA	1	0%	0%	0%	0%	100%	0%
Roschon Johnson	CHI	6	0%	0%	0%	0%	100%	0%
British Brooks	HOU	12	0%	0%	0%	0%	100%	0%
Reggie Gilliam	BUF	16	0%	0%	0%	0%	100%	0%
D'Ernest Johnson	NE	5	0%	0%	0%	0%	100%	0%
Jacob Saylors	DET	11	0%	0%	0%	0%	100%	0%
Josh Williams	TB	2	0%	0%	0%	0%	100%	0%
Khalil Herbert	NYJ	4	0%	0%	0%	0%	100%	0%
Amar Johnson	LAC	1	0%	0%	0%	0%	100%	0%
Kalel Mullings	TEN	5	0%	0%	0%	0%	100%	0%
Owen Wright	TB	3	0%	0%	0%	0%	100%	0%
Myles Gaskin	SEA	1	0%	0%	0%	0%	100%	0%
Craig Reynolds	NE	6	0%	0%	0%	0%	100%	0%
Sione Vaki	DET	7	0%	0%	0%	0%	100%	0%
Patrick Ricard	BAL	11	0%	0%	0%	0%	100%	0%
Kendall Milton	CIN	1	0%	0%	0%	0%	100%	0%
Ulysses Bentley	IND	1	0%	0%	0%	0%	100%	0%
Jeff Wilson Jr.	MIA	1	0%	0%	0%	0%	100%	0%
Isaac Guerendo	SF	8	0%	0%	0%	0%	100%	0%
Jakob Johnson	HOU	7	0%	0%	0%	0%	100%	0%
Jordan Mims	TEN	1	0%	0%	0%	0%	100%	0%
Xazavian Valladay	MIN	1	0%	0%	0%	0%	100%	0%
Jordan James	SF	2	0%	0%	0%	0%	100%	0%
Sincere McCormick	DEN	1	0%	0%	0%	0%	100%	0%
Trey Sermon	PIT	3	0%	0%	0%	0%	100%	0%
Avery Williams	NYJ	1	0%	0%	0%	0%	100%	0%
Lew Nichols	PIT	2	0%	0%	0%	0%	100%	0%
Eric Gray	NYG	3	0%	0%	0%	0%	100%	0%
Kye Robichaux	DET	1	0%	0%	0%	0%	100%	0%
Michael Burton	DEN	1	0%	0%	0%	0%	100%	0%
Raheem Blackshear	PIT	1	0%	0%	0%	0%	100%	0%
Chase Edmonds	WAS	3	0%	0%	0%	0%	100%	0%
Elijah Mitchell	NE	1	0%	0%	0%	0%	100%	0%
Deion Hankins	CHI	1	0%	0%	0%	0%	100%	0%
Gary Brightwell	CIN	2	0%	0%	0%	0%	100%	0%
Chris Collier	LV	1	0%	0%	0%	0%	100%	0%
Keilan Robinson	NYJ	1	0%	0%	0%	0%	100%	0%
Jashaun Corbin	NE	1	0%	0%	0%	0%	100%	0%
Alexander Mattison	MIA	2	0%	0%	0%	0%	100%	0%
Keaontay Ingram	KC	1	0%	0%	0%	0%	100%	0%
Nyheim Miller-Hines	NO	3	0%	0%	0%	0%	100%	0%
Travis Homer	CHI	7	0%	0%	0%	0%	100%	0%
