Player	Team	Games	Boom	Top 12	Top 24	Top 36	Bust	Other
Christian McCaffrey	SF	16	75%	88%	94%	100%	0%	0%
Bijan Robinson	ATL	16	50%	69%	81%	94%	6%	0%
Jonathan Taylor	IND	16	44%	50%	88%	100%	0%	0%
Jahmyr Gibbs	DET	16	38%	56%	75%	88%	6%	6%
De'Von Achane	MIA	16	19%	56%	100%	100%	0%	0%
James Cook	BUF	16	25%	63%	75%	94%	6%	0%
Derrick Henry	BAL	16	25%	44%	69%	94%	6%	0%
Chase Brown	CIN	16	19%	44%	75%	94%	6%	0%
Kyren Williams	LAR	16	6%	38%	75%	94%	6%	0%
Travis Etienne Jr.	JAC	16	6%	38%	75%	88%	6%	6%
Javonte Williams	DAL	16	13%	38%	75%	88%	0%	13%
Josh Jacobs	GB	15	20%	40%	73%	80%	20%	0%
Ashton Jeanty	LV	16	19%	25%	56%	81%	13%	6%
Saquon Barkley	PHI	16	6%	44%	63%	81%	13%	6%
D'Andre Swift	CHI	15	7%	33%	67%	93%	7%	0%
Rico Dowdle	CAR	16	19%	19%	44%	75%	25%	0%
Breece Hall	NYJ	16	6%	25%	50%	69%	25%	6%
RJ Harvey	DEN	16	6%	38%	44%	63%	25%	13%
Jaylen Warren	PIT	15	7%	20%	67%	93%	0%	7%
Kenny Gainwell	PIT	16	19%	31%	38%	56%	25%	19%
TreVeyon Henderson	NE	16	19%	19%	50%	63%	38%	0%
Tony Pollard	TEN	16	6%	13%	38%	75%	13%	13%
Kenneth Walker	SEA	16	6%	25%	38%	69%	25%	6%
Quinshon Judkins	CLE	14	7%	14%	43%	71%	29%	0%
Zach Charbonnet	SEA	15	7%	20%	47%	67%	27%	7%
David Montgomery	DET	16	6%	13%	38%	63%	31%	6%
Woody Marks	HOU	15	7%	7%	33%	60%	40%	0%
Rhamondre Stevenson	NE	13	8%	23%	46%	54%	46%	0%
Kyle Monangai	CHI	16	6%	19%	25%	56%	44%	0%
Kareem Hunt	KC	16	0%	13%	38%	50%	50%	0%
Jacory Croskey-Merritt	WAS	16	6%	13%	25%	44%	56%	0%
Rachaad White	TB	16	6%	13%	19%	56%	38%	6%
Omarion Hampton	LAC	9	22%	33%	67%	89%	11%	0%
Tyrone Tracy Jr.	NYG	14	7%	14%	21%	50%	29%	21%
Cam Skattebo	NYG	8	25%	38%	75%	88%	13%	0%
Bucky Irving	TB	9	11%	22%	67%	89%	0%	11%
Chuba Hubbard	CAR	14	0%	21%	21%	57%	43%	0%
Tyler Allgeier	ATL	16	0%	6%	25%	56%	44%	0%
Jordan Mason	MIN	15	7%	7%	27%	47%	53%	0%
Aaron Jones Sr.	MIN	12	0%	0%	50%	75%	25%	0%
J.K. Dobbins	DEN	10	0%	0%	60%	80%	10%	10%
Kimani Vidal	LAC	12	8%	33%	42%	50%	50%	0%
Blake Corum	LAR	16	6%	6%	25%	31%	69%	0%
Tyjae Spears	TEN	12	0%	8%	17%	50%	25%	25%
Alvin Kamara	NO	11	0%	0%	45%	55%	27%	18%
Devin Singletary	NYG	16	0%	13%	19%	25%	69%	6%
Bam Knight	ARI	12	0%	0%	33%	50%	33%	17%
Michael Carter	ARI	12	0%	8%	25%	50%	33%	17%
Sean Tucker	TB	16	6%	6%	6%	25%	63%	13%
Emanuel Wilson	GB	16	6%	6%	25%	31%	69%	0%
Nick Chubb	HOU	15	0%	0%	13%	33%	60%	7%
Isiah Pacheco	KC	13	0%	0%	23%	31%	69%	0%
Dylan Sampson	CLE	14	0%	0%	14%	36%	64%	0%
Ty Johnson	BUF	16	0%	0%	6%	31%	69%	0%
Bhayshul Tuten	JAC	14	0%	0%	14%	43%	57%	0%
Chris Rodriguez Jr.	WAS	12	0%	0%	17%	42%	50%	8%
Isaiah Davis	NYJ	16	0%	6%	13%	19%	75%	6%
Jeremy McNichols	WAS	16	0%	0%	13%	13%	75%	13%
Samaje Perine	CIN	14	0%	0%	14%	21%	79%	0%
Justice Hill	BAL	10	10%	10%	10%	40%	60%	0%
Brian Robinson Jr.	SF	16	0%	0%	13%	13%	88%	0%
Devin Neal	NO	9	0%	0%	22%	44%	56%	0%
Brashard Smith	KC	16	0%	0%	6%	13%	69%	19%
Kyle Juszczyk	SF	16	0%	0%	0%	6%	88%	6%
Keaton Mitchell	BAL	12	0%	0%	8%	25%	67%	8%
Ollie Gordon	MIA	16	0%	0%	6%	25%	75%	0%
Emari Demercado	ARI	12	0%	0%	8%	25%	75%	0%
Jaylen Wright	MIA	10	0%	0%	20%	20%	80%	0%
Jerome Ford	CLE	13	0%	0%	0%	15%	85%	0%
Malik Davis	DAL	10	0%	0%	10%	30%	70%	0%
Ray Davis	BUF	16	0%	0%	0%	6%	94%	0%
Zavier Scott	MIN	10	0%	0%	10%	10%	90%	0%
Tank Bigsby	PHI	15	0%	0%	0%	13%	87%	0%
Trey Benson	ARI	5	0%	0%	0%	80%	20%	0%
Hunter Luepke	DAL	16	0%	0%	0%	6%	88%	6%
Kendre Miller	NO	7	0%	0%	14%	14%	86%	0%
James Conner	ARI	4	0%	0%	50%	50%	25%	25%
Audric Estime	NO	6	0%	0%	17%	33%	50%	17%
Ameer Abdullah	IND	12	0%	0%	0%	8%	83%	8%
Tyler Badie	DEN	15	0%	0%	0%	0%	100%	0%
Jawhar Jordan	HOU	3	0%	0%	67%	67%	33%	0%
Raheem Mostert	LV	12	0%	0%	0%	8%	92%	0%
