Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Cade Stover	HOU	16	2.9	12	76	6.3	0	0	4	3	0	0	9
Tanner Conner	MIA	15	3.2	9	91	10.1	1	0	0	0	0	0	9
Quintin Morris	JAC	9	1.7	6	55	9.2	0	1	0	0	0	0	13
Tyler Conklin	LAC	10	2	7	101	14.4	2	0	1	2	0	0	10
Nate Adkins	DEN	11	1.9	6	48	8	0	1	0	0	0	0	9
Jack Stoll	NO	11	2.1	6	46	7.7	0	1	0	0	0	0	15
Josh Whyle	GB	6	1.2	5	36	7.2	1	1	0	0	0	0	8
Anthony Firkser	DET	10	1.8	8	53	6.6	0	0	0	0	0	0	7
David Martin-Robinson	TEN	6	1.2	4	30	7.5	0	1	0	0	0	0	15
Foster Moreau	NO	10	1.9	7	59	8.4	0	0	0	0	0	0	11
Charlie Woerner	ATL	9	1.8	8	48	6	0	0	0	0	0	0	17
Drew Ogletree	IND	6	1.2	4	27	6.8	0	1	0	0	0	0	15
Stone Smartt	NYJ	9	1.9	7	52	7.4	0	0	0	0	0	0	9
Josiah Deguara	ARI	5	0.9	3	21	7	0	1	0	0	0	0	12
Kylen Granson	PHI	9	1.9	7	40	5.7	0	0	0	0	0	0	17
Eric Saubert	SEA	7	1.5	4	31	7.8	0	0	0	0	0	0	11
Brenden Bates	CLE	5	1	4	48	12	0	0	0	0	0	0	9
Albert Okwuegbunam Jr.	LV	6	1.2	5	36	7.2	0	0	0	0	0	0	1
Devin Culp	TB	1	0.2	1	6	6	0	1	0	0	0	0	11
Keleki Latu	BUF	4	0.8	4	35	8.8	0	0	0	0	0	0	5
Durham Smythe	CHI	6	1.2	4	25	6.3	0	0	0	0	0	0	17
Ben Sims	MIN	6	1.3	3	30	10	0	0	0	0	0	0	9
James Mitchell	CAR	3	0.6	3	28	9.3	0	0	0	0	0	0	5
Shane Zylstra	DET	5	0.9	3	20	6.7	0	0	0	0	0	0	5
Tip Reiman	ARI	5	0.9	3	18	6	0	0	0	0	0	0	5
Tucker Fisk	LAC	4	0.8	2	19	9.5	0	0	0	0	0	0	10
Colson Yankoff	WAS	3	0.6	2	18	9	0	0	0	0	0	0	14
Zaire Mitchell-Paden	NO	3	0.6	2	17	8.5	0	0	0	0	0	0	8
Lucas Krull	DEN	4	0.6	2	15	7.5	0	0	0	0	0	0	4
Jelani Woods	NYJ	4	0.8	1	4	4	0	0	0	0	0	0	6
Ben Yurosek	MIN	3	0.6	2	14	7	0	0	0	0	0	0	12
Sal Cannella	CLE	5	1	2	11	5.5	0	0	0	0	0	0	2
Moliki Matavao	NO	2	0.4	2	10	5	0	0	0	0	0	0	6
