Rank	Player	Team	Pos	Avg Stars	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18
76	Joe Royer	CLE	TE	3.12	2	5	3	3	4	2	4	3	2	3	BYE	4	4	2	2	2	4	4
77	Foster Moreau	HOU	TE	3.24	4	4	4	4	4	2	2	BYE	4	2	4	2	3	5	2	2	3	4
78	Michael Trigg	DAL	TE	3.06	2	5	2	3	5	3	2	4	4	2	4	2	3	BYE	2	2	2	5
79	Matt Hibner	BAL	TE	3.24	4	2	4	4	2	2	4	4	2	4	3	3	BYE	5	3	2	4	3
80	Mo Alie-Cox	IND	TE	3	2	3	3	5	3	4	3	2	4	3	3	2	BYE	2	4	4	2	2
81	Jack Endries	CIN	TE	2.94	5	3	3	2	3	BYE	2	4	2	3	5	2	2	3	3	4	2	2
82	Tommy Myers	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
83	Brock Wright	DET	TE	3.18	2	4	4	3	4	BYE	3	3	3	3	5	3	2	4	3	2	3	3
84	Josh Whyle	GB	TE	3.12	3	4	2	5	3	4	3	3	3	3	BYE	2	2	4	3	3	3	3
85	Drew Sample	CIN	TE	2.94	5	3	3	2	3	BYE	2	4	2	3	5	2	2	3	3	4	2	2
86	Thomas Fidone II	NYG	TE	3.12	4	2	4	4	5	2	3	BYE	2	5	2	4	2	3	2	3	4	2
87	Jared Wiley	KC	TE	3.35	3	4	3	4	BYE	4	3	3	4	2	4	4	2	4	3	2	4	4
88	Ian Thomas	LV	TE	3.12	3	4	2	3	3	4	2	4	2	3	3	2	BYE	4	3	4	4	3
89	Tanner Hudson	CIN	TE	2.94	5	3	3	2	3	BYE	2	4	2	3	5	2	2	3	3	4	2	2
90	Davis Allen	LAR	TE	3.35	2	2	3	2	4	4	4	4	5	4	BYE	3	3	2	4	3	5	3
91	Jeremy Ruckert	NYJ	TE	3.29	4	3	3	3	2	3	3	4	3	4	4	3	BYE	3	4	3	3	4
92	Bauer Sharp	TB	TE	2.76	4	2	3	3	4	3	3	2	3	BYE	3	3	4	2	2	2	2	2
93	Cade Stover	HOU	TE	3.24	4	4	4	4	4	2	2	BYE	4	2	4	2	3	5	2	2	3	4
94	Jelani Woods	NYJ	TE	3.29	4	3	3	3	2	3	3	4	3	4	4	3	BYE	3	4	3	3	4
95	Payne Durham	TB	TE	2.76	4	2	3	3	4	3	3	2	3	BYE	3	3	4	2	2	2	2	2
96	Nate Adkins	DEN	TE	3.24	3	2	2	2	4	3	4	3	3	BYE	4	3	3	4	4	4	3	4
97	Taysom Hill	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
98	Ben Sims	MIA	TE	3.41	4	2	3	3	4	BYE	4	3	3	4	4	4	3	3	3	4	4	3
99	Devin Culp	TB	TE	2.76	4	2	3	3	4	3	3	2	3	BYE	3	3	4	2	2	2	2	2
100	Brevyn Spann-Ford	DAL	TE	3.06	2	5	2	3	5	3	2	4	4	2	4	2	3	BYE	2	2	2	5
101	Jack Stoll	CLE	TE	3.12	2	5	3	3	4	2	4	3	2	3	BYE	4	4	2	2	2	4	4
102	Luke Farrell	SF	TE	3.12	2	3	4	3	3	5	2	BYE	4	4	3	3	2	2	4	3	2	4
103	Eric Saubert	SEA	TE	3.06	3	4	5	4	2	3	3	3	4	4	BYE	2	4	2	2	2	3	2
104	Grant Calcaterra	PHI	TE	3.24	5	4	3	2	2	3	4	5	2	BYE	3	4	4	4	3	3	2	2
105	Julian Hill	NE	TE	3.29	3	3	2	4	4	4	3	3	3	3	BYE	4	4	3	3	4	3	3
106	Will Mallory	IND	TE	3	2	3	3	5	3	4	3	2	4	3	3	2	BYE	2	4	4	2	2
107	Tip Reiman	ARI	TE	2.94	4	3	2	2	3	2	3	4	3	2	3	5	2	BYE	4	2	4	2
108	Stone Smartt	PHI	TE	3.24	5	4	3	2	2	3	4	5	2	BYE	3	4	4	4	3	3	2	2
109	Kylen Granson	TEN	TE	3.12	4	2	2	2	3	4	2	4	BYE	2	4	2	5	3	4	4	3	3
110	Moliki Matavao	NO	TE	3.12	3	2	4	2	3	2	3	BYE	2	3	3	4	3	3	5	4	2	5
111	Will Dissly	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
112	Khalil Dinkins	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
113	Josh Cuevas	BAL	TE	3.24	4	2	4	4	2	2	4	4	2	4	3	3	BYE	5	3	2	4	3
114	Charlie Woerner	ATL	TE	3.12	3	3	3	2	2	3	2	5	4	3	BYE	3	3	2	5	5	2	3
115	Jake Briningstool	KC	TE	3.35	3	4	3	4	BYE	4	3	3	4	2	4	4	2	4	3	2	4	4
