Player	Pos	School	College	Ht	Wt	40yd	Vertical	Bench	Broad Jump	3Cone	Shuttle	DraftTeam	DraftRound	DraftPick	DraftYear
Kaytron Allen	RB	Penn St.	College Stats	5-11	216							Washington Commanders	6th	187th pick	2026
Anez Cooper	G	Miami	College Stats	6-6	334							New York Jets	6th	188th pick	2026
Barion Brown	WR	LSU	College Stats	5-11	177	4.4						New Orleans Saints	6th	190th pick	2026
Josh Cameron	WR	Baylor	College Stats	6-2	220							Jacksonville Jaguars	6th	191st pick	2026
Jack Kelly	LB	BYU	College Stats	6-2	240	4.57	37		125	7.12	4.19	New York Giants	6th	193rd pick	2026
Patrick Coogan	C	Indiana	College Stats	6-5	311							Tennessee Titans	6th	194th pick	2026
Dametrious Crownover	OT	Texas A&M	College Stats	6-7	319	5.14						New England Patriots	6th	196th pick	2026
CJ Daniels	WR	Miami	College Stats	6-2	202							Los Angeles Rams	6th	197th pick	2026
Demond Claiborne	RB	Wake Forest	College Stats	5-10	188	4.37			122			Minnesota Vikings	6th	198th pick	2026
Devon Campbell	G	Texas	College Stats	6-3	313	5.01	26.5		104			Miami Dolphins	6th	200th pick	2026
Domani Jackson	CB	Alabama	College Stats	6-1	194	4.41						Green Bay Packers	6th	201st pick	2026
Logan Taylor	G	Boston Col.	College Stats	6-7	314	5.19	31		108	7.75	4.84	Los Angeles Chargers	6th	202nd pick	2026
Skyler Gill-Howard	DT	Texas Tech	College Stats	6-1	280			27				Detroit Lions	6th	205th pick	2026
Alex Harkey	G	Oregon	College Stats	6-6	308							Los Angeles Chargers	6th	206th pick	2026
Micah Morris	G	Georgia	College Stats	6-5	334	5.09	29.5	29	112			Philadelphia Eagles	6th	207th pick	2026
Ryan Eckley	P	Michigan St.	College Stats	6-1	200							Baltimore Ravens	6th	211th pick	2026
Namdi Obiazor	LB	TCU	College Stats	6-3	229	4.53	37		119	7.24	4.36	New England Patriots	6th	212th pick	2026
Caden Curry	EDGE	Ohio St.	College Stats	6-3	257							Indianapolis Colts	6th	214th pick	2026
Harold Perkins Jr.	LB	LSU	College Stats	6-1	223							Atlanta Falcons	6th	215th pick	2026
James Smack	K	Florida	College Stats	6-1	188							Green Bay Packers	6th	216th pick	2026
TJ Hall	CB	Iowa	College Stats	6-1	189	4.59	36			7.19	4.19	New Orleans Saints	7th	219th pick	2026
Toriano Pride	CB	Missouri	College Stats	5-10	185	4.32	37.5	13	128	7.2		Buffalo Bills	7th	220th pick	2026
Jack Endries	TE	Texas	College Stats	6-5	245	4.62	36		119			Cincinnati Bengals	7th	221st pick	2026
Robert Spears-Jennings	SAF	Oklahoma	College Stats	6-2	205	4.32	35		125		4.43	Pittsburgh Steelers	7th	224th pick	2026
Jaren Kanak	TE	Oklahoma	College Stats	6-2	234	4.52	36	24	119			Tennessee Titans	7th	225th pick	2026
VJ Payne	SAF	Kansas St.	College Stats	6-3	206	4.4	35		127			New York Jets	7th	228th pick	2026
Brandon Cleveland	DT	North Carolina St.	College Stats	6-3	307	5.12						Las Vegas Raiders	7th	229th pick	2026
Eli Heidenreich	RB	Navy	College Stats	6-0	198	4.44	35.5	16	120			Pittsburgh Steelers	7th	230th pick	2026
Tim Keenan III	DT	Alabama	College Stats	6-1	327	5.31	30	21	100			Los Angeles Rams	7th	232nd pick	2026
Behren Morton	QB	Texas Tech	College Stats	6-2	221							New England Patriots	7th	234th pick	2026
Seth McGowan	RB	Kentucky	College Stats	6-0	223	4.49	42.5		131		4.5	Indianapolis Colts	7th	237th pick	2026
Max Llewellyn	EDGE	Iowa	College Stats	6-6	258	4.81	32.5		115			Miami Dolphins	7th	238th pick	2026
Tommy Doman	P	Florida	College Stats	6-4	214							Buffalo Bills	7th	239th pick	2026
Deven Eastern	DT	Minnesota	College Stats	6-5	315		27.5		112	8.07		Seattle Seahawks	7th	242nd pick	2026
Aiden Fisher	LB	Indiana	College Stats	6-1	232							Houston Texans	7th	243rd pick	2026
