Player	Pos	School	College	Ht	Wt	40yd	Vertical	Bench	Broad Jump	3Cone	Shuttle	DraftTeam	DraftRound	DraftPick	DraftYear
Davison Igbinosun	CB	Ohio St.	College Stats	6-2	189	4.45	34		120			Buffalo Bills	2nd	62nd pick	2026
Jake Slaughter	C	Florida	College Stats	6-5	303	5.1	32.5		110			Los Angeles Chargers	2nd	63rd pick	2026
Bud Clark	SAF	TCU	College Stats	6-1	188	4.41	38		127			Seattle Seahawks	2nd	64th pick	2026
Carson Beck	QB	Miami	College Stats	6-5	233							Arizona Cardinals	3rd	65th pick	2026
Keyron Crawford	EDGE	Auburn	College Stats	6-4	253							Las Vegas Raiders	3rd	67th pick	2026
Markel Bell	OT	Miami	College Stats	6-9	346	5.36						Philadelphia Eagles	3rd	68th pick	2026
Sam Roush	TE	Stanford	College Stats	6-6	267	4.7	38.5	25	126	7.08	4.37	Chicago Bears	3rd	69th pick	2026
Romello Height	EDGE	Texas Tech	College Stats	6-3	239	4.64	39		125			San Francisco 49ers	3rd	70th pick	2026
Antonio Williams	WR	Clemson	College Stats	6-0	187	4.41	39.5	10	124	7		Washington Commanders	3rd	71st pick	2026
Tacario Davis	CB	Washington	College Stats	6-4	194	4.41	37		123			Cincinnati Bengals	3rd	72nd pick	2026
Oscar Delp	TE	Georgia	College Stats	6-5	245							New Orleans Saints	3rd	73rd pick	2026
Malachi Fields	WR	Notre Dame	College Stats	6-5	218	4.61	38		124	6.98	4.35	New York Giants	3rd	74th pick	2026
Caleb Douglas	WR	Texas Tech	College Stats	6-4	206	4.39	31.5		126			Miami Dolphins	3rd	75th pick	2026
Drew Allar	QB	Penn St.	College Stats	6-5	228							Pittsburgh Steelers	3rd	76th pick	2026
Chris McClellan	DT	Missouri	College Stats	6-4	313	5.05	29.5	25	108			Green Bay Packers	3rd	77th pick	2026
Adari Haulcy	SAF	LSU	College Stats	6-0	215	4.52						Indianapolis Colts	3rd	78th pick	2026
Zachariah Branch	WR	Georgia	College Stats	5-9	177	4.35	38	20	125			Atlanta Falcons	3rd	79th pick	2026
Ja'Kobi Lane	WR	USC	College Stats	6-4	200	4.47	40		129			Baltimore Ravens	3rd	80th pick	2026
Albert Regis	DT	Texas A&M	College Stats	6-1	295	4.88	34		116	7.77	4.85	Jacksonville Jaguars	3rd	81st pick	2026
Domonique Orange	DT	Iowa St.	College Stats	6-2	322							Minnesota Vikings	3rd	82nd pick	2026
Daylen Everette	CB	Georgia	College Stats	6-1	196	4.38	37.5		124			Pittsburgh Steelers	3rd	85th pick	2026
Austin Barber	OT	Florida	College Stats	6-7	318	5.12	32		111			Cleveland Browns	3rd	86th pick	2026
Emmanuel Pregnon	G	Oregon	College Stats	6-4	314	5.21	35		111			Jacksonville Jaguars	3rd	88th pick	2026
Zavion Thomas	WR	LSU	College Stats	5-10	190	4.28	36					Chicago Bears	3rd	89th pick	2026
Trey Zuhn III	C	Texas A&M	College Stats	6-7	312			33				Las Vegas Raiders	3rd	91st pick	2026
Jaishawn Barham	EDGE	Michigan	College Stats	6-4	240	4.64	33		123			Dallas Cowboys	3rd	92nd pick	2026
Chris Bell	WR	Louisville	College Stats	6-2	222							Miami Dolphins	3rd	94th pick	2026
Elijah Raridon	TE	Notre Dame	College Stats	6-6	245	4.62	36	20	123			New England Patriots	3rd	95th pick	2026
Gennings Dunker	G	Iowa	College Stats	6-5	319	5.18	32.5		108		4.63	Pittsburgh Steelers	3rd	96th pick	2026
Caleb Tiernan	OT	Northwestern	College Stats	6-8	323		35.5		111			Minnesota Vikings	3rd	97th pick	2026
Julian Neal	CB	Arkansas	College Stats	6-2	203	4.49	40	16	134	7.13	4.2	Seattle Seahawks	3rd	99th pick	2026
Jalen Huskey	SAF	Maryland	College Stats	6-1	196							Jacksonville Jaguars	3rd	100th pick	2026
Jermod McCoy	CB	Tennessee	College Stats	6-1	188			14				Las Vegas Raiders	4th	101st pick	2026
Jude Bowry	OT	Boston Col.	College Stats	6-5	314	5.08	34.5		115			Buffalo Bills	4th	102nd pick	2026
Darrell Jackson Jr.	DT	Florida St.	College Stats	6-6	315							New York Jets	4th	103rd pick	2026
Brenen Thompson	WR	Mississippi St.	College Stats	5-9	164	4.26						Los Angeles Chargers	4th	105th pick	2026
Gracen Halton	DT	Oklahoma	College Stats	6-3	293	4.82	36.5		114	8.09	4.79	San Francisco 49ers	4th	107th pick	2026
Jonah Coleman	RB	Washington	College Stats	5-8	220			22				Denver Broncos	4th	108th pick	2026
Jadon Canady	CB	Oregon	College Stats	5-11	181							Kansas City Chiefs	4th	109th pick	2026
Cade Klubnik	QB	Clemson	College Stats	6-2	207							New York Jets	4th	110th pick	2026
Kage Casey	OT	Boise St.	College Stats	6-6	310	5.2				8.01		Denver Broncos	4th	111th pick	2026
Drew Shelton	OT	Penn St.	College Stats	6-5	313	5.16	31		112			Dallas Cowboys	4th	112th pick	2026
Jalen Farmer	G	Kentucky	College Stats	6-5	312	4.93	27		108			Indianapolis Colts	4th	113th pick	2026
