Player	Position	Team	gp	att	yds	avg	td	tgt	rec	yds	yds/g	avg	td	fl
Keaton Mitchell	RB	LAC	17	108	473	4.4	2	14	11	72	4.2	6.6	0	1
Najee Harris	RB	NYG	17	80	352	4.4	3	12	9	75	4.4	8.3	0	0
Kyle Juszczyk	FB	SF	17	4	2	0.5	0	33	27	254	14.9	9.4	2	0
Brashard Smith	RB	KC	17	50	179	3.6	1	30	21	142	8.4	6.8	1	0
Jaylen Wright	RB	MIA	17	104	384	3.7	2	12	7	49	2.9	7	0	2
Christopher Brooks	RB	GB	17	57	254	4.5	1	13	10	69	4.1	6.9	0	0
LeQuint Allen	RB	JAC	17	56	218	3.9	1	9	9	50	2.9	5.6	0	0
Devin Neal	RB	NO	17	46	180	3.9	2	7	5	35	2.1	7	0	0
Jerome Ford	RB	WAS	17	35	194	5.5	1	10	8	46	2.7	5.8	0	0
Trayveon Williams	RB	DET	17	32	138	4.3	1	11	9	77	4.5	8.6	0	0
Isaiah Davis	RB	NYJ	17	31	171	5.5	1	9	7	61	3.6	8.7	0	0
Frank Gore Jr.	RB	BUF	17	37	175	4.7	2	4	3	26	1.5	8.7	0	0
Roschon Johnson	RB	CHI	17	34	116	3.4	3	3	3	18	1.1	6	0	0
Phil Mafah	RB	DAL	17	32	142	4.4	2	5	4	34	2	8.5	0	0
Austin Ekeler	RB	WAS	17	35	150	4.3	1	8	6	61	3.6	10.2	0	0
Seth McGowan	RB	IND	17	32	141	4.4	2	3	2	25	1.5	12.5	0	0
Kendre Miller	RB	NO	17	35	140	4	2	2	2	11	0.6	5.5	0	0
Isaac Guerendo	RB	SF	17	33	160	4.9	1	4	4	37	2.2	9.3	0	0
Sean Tucker	RB	TB	17	35	145	4.1	2	1	1	6	0.4	6	0	0
Kaytron Allen	RB	WAS	17	35	171	4.9	1	3	2	22	1.3	11	0	0
Jeremy McNichols	RB	WAS	17	17	88	5.2	1	9	7	53	3.1	7.6	0	0
Ameer Abdullah	RB	JAC	17	17	71	4.2	1	9	8	56	3.3	7	0	0
Zavier Scott	RB	MIN	17	29	108	3.7	0	6	6	46	2.7	7.7	1	0
Elijah Mitchell	RB	PHI	17	35	159	4.5	1	3	2	22	1.3	11	0	0
Michael Burton	FB	CLE	17	9	10	1.1	1	8	6	40	2.4	6.7	1	0
Jam Miller	RB	NE	17	34	145	4.3	1	3	2	25	1.5	12.5	0	0
Andrew Beck	FB	NYJ	17	1	8	8	0	7	5	35	2.1	7	2	0
Salvon Ahmed	RB	CHI	17	35	153	4.4	1	2	1	12	0.7	12	0	0
Jonah Coleman	RB	DEN	17	32	134	4.2	1	3	3	23	1.4	7.7	0	0
Emmett Johnson	RB	KC	17	30	126	4.2	1	3	3	23	1.4	7.7	0	0
Audric Estime	RB	NO	17	30	122	4.1	1	3	3	24	1.4	8	0	0
Rasheen Ali	RB	BAL	17	13	47	3.6	0	9	7	53	3.1	7.6	1	0
