Player	Position	Team	gp	tgt	rec	yds	yds/g	avg	td	att	yds	avg	td	fl
Makai Lemon	WR	PHI	17	87	53	735	43.2	13.9	4	3	13	4.3	0	2
Tre Tucker	WR	LV	17	85	52	605	35.6	11.6	5	12	52	4.3	0	0
Matthew Golden	WR	GB	17	70	47	704	41.4	15	4	12	57	4.8	0	0
Rashod Bateman	WR	BAL	17	72	40	583	34.3	14.6	8	0	0	0	0	0
Tank Dell	WR	HOU	17	79	50	639	37.6	12.8	4	12	53	4.4	0	0
Christian Kirk	WR	SF	17	97	55	634	37.3	11.5	4	0	0	0	0	0
Jalen McMillan	WR	TB	17	66	46	626	36.8	13.6	4	5	29	5.8	0	0
Elic Ayomanor	WR	TEN	17	84	42	570	33.5	13.6	6	0	0	0	0	0
Antonio Williams	WR	WAS	17	73	45	650	38.2	14.4	4	3	15	5	0	2
Kayshon Boutte	WR	NE	17	61	39	584	34.4	15	6	0	0	0	0	0
Jalen Nailor	WR	LV	17	76	43	568	33.4	13.2	5	2	7	3.5	0	0
Chris Bell	WR	MIA	17	76	47	582	34.2	12.4	4	2	11	5.5	0	1
Marquise Brown	WR	PHI	17	69	44	545	32.1	12.4	5	0	0	0	0	0
Devaughn Vele	WR	NO	17	68	45	591	34.8	13.1	4	0	0	0	0	0
Chimere Dike	WR	TEN	17	70	45	431	25.4	9.6	6	10	17	1.7	0	1
Tory Horton	WR	SEA	17	64	39	504	29.6	12.9	6	1	6	6	0	1
Malik Benson	WR	LV	17	77	47	551	32.4	11.7	3	2	8	4	0	1
Omar Cooper Jr.	WR	NYJ	17	72	44	520	30.6	11.8	4	2	13	6.5	0	1
Darius Slayton	WR	NYG	17	69	40	613	36.1	15.3	2	1	5	5	0	1
Xavier Hutchinson	WR	HOU	17	78	43	509	29.9	11.8	3	2	16	8	0	0
Germie Bernard	WR	PIT	17	68	42	511	30.1	12.2	3	2	10	5	0	1
Jaylin Noel	WR	HOU	17	57	40	451	26.5	11.3	4	6	13	2.2	0	0
Jordyn Tyson	WR	NO	12	65	40	574	47.8	14.4	3	1	7	7	0	1
Malik Washington	WR	MIA	17	65	46	349	20.5	7.6	3	14	84	6	1	1
Olamide Zaccheaus	WR	ATL	17	74	46	411	24.2	8.9	3	3	19	6.3	0	0
Bub Means	WR	NO	17	63	38	519	30.5	13.7	3	1	6	6	0	1
Jahdae Walker	WR	CHI	17	52	32	431	25.4	13.5	5	1	7	7	0	0
Tyquan Thornton	WR	KC	17	52	27	575	33.8	21.3	4	0	0	0	0	0
Ted Hurst	WR	TB	17	57	36	485	28.5	13.5	3	2	13	6.5	0	1
Cedric Tillman	WR	CLE	17	64	36	438	25.8	12.2	4	0	-1	0	0	0
Andrei Iosivas	WR	CIN	17	62	35	470	27.6	13.4	3	3	11	3.7	0	0
Adonai Mitchell	WR	NYJ	17	77	38	480	28.2	12.6	3	2	-1	-0.5	0	1
Calvin Austin III	WR	NYG	17	58	33	449	26.4	13.6	4	0	0	0	0	0
Demarcus Robinson	WR	SF	17	53	32	460	27.1	14.4	3	1	5	5	0	0
Dontayvion Wicks	WR	PHI	17	64	38	399	23.5	10.5	3	1	5	5	0	0
Ashton Dulin	WR	IND	17	49	25	551	32.4	22	2	6	66	11	0	0
Caleb Douglas	WR	MIA	17	57	35	433	25.5	12.4	3	2	11	5.5	0	1
Isaac TeSlaa	WR	DET	17	46	27	404	23.8	15	5	0	0	0	0	0
