PLAYER	POS	TEAM	GAMES	SNAPS	SNAPS/GM	SNAP %	RUSH %	TGT %	TOUCH %	UTIL %
Garrett Wilson	WR	NYJ	7	383	55	89	0	15	9	15
Marcus Mariota	QB	WAS	11	510	46	75	10	0	54	54
Greg Dortch	WR	ARI	12	292	24	35	2	11	12	14
Baker Mayfield	QB	TB	17	1,099	65	97	5	0	54	54
Tyrod Taylor	QB	NYJ	6	251	42	70	11	0	64	64
Greg Dulcich	TE	MIA	10	245	25	42	0	13	11	14
Aaron Rodgers	QB	PIT	16	918	57	96	2	0	57	57
Kyler Murray	QB	ARI	5	318	64	99	9	0	60	60
Michael Carter	RB	ARI	13	393	30	45	23	11	32	35
Carson Wentz	QB	MIN	5	300	60	94	4	0	60	60
Hollywood Brown	WR	KC	16	551	34	52	0	13	9	13
C.J. Stroud	QB	HOU	14	868	62	91	6	0	54	54
Rachaad White	RB	TB	17	574	34	51	23	8	30	31
Mac Jones	QB	SF	11	546	50	76	7	0	60	60
Riley Leonard	QB	IND	5	130	26	43	5	0	56	56
Marvin Mims Jr.	WR	DEN	15	379	25	37	3	13	13	17
Kimani Vidal	RB	LAC	13	481	37	55	32	5	36	37
Sam Darnold	QB	SEA	17	1,026	60	96	3	0	50	50
DK Metcalf	WR	PIT	15	776	52	87	0	13	8	13
Russell Wilson	QB	NYG	6	220	37	53	8	0	62	62
Jake Ferguson	TE	DAL	17	786	46	66	0	13	11	13
Michael Wilson	WR	ARI	17	923	54	81	0	14	8	14
Mike Evans	WR	TB	8	357	45	65	0	17	8	17
Bryce Young	QB	CAR	16	964	60	96	6	0	55	55
Ryan Flournoy	WR	DAL	15	479	32	46	1	12	9	13
Davis Mills	QB	HOU	6	292	49	70	4	0	59	59
Quentin Johnston	WR	LAC	14	723	52	77	0	12	7	12
Harold Fannin Jr.	TE	CLE	16	786	49	76	1	14	10	15
Colston Loveland	TE	CHI	16	701	44	65	0	12	8	12
Dallas Goedert	TE	PHI	15	787	52	85	0	10	8	10
Jake Tonges	TE	SF	16	399	25	37	0	12	9	12
Josh Downs	WR	IND	16	594	37	59	0	15	10	15
Zach Ertz	TE	WAS	13	551	42	67	0	13	9	13
Tetairoa McMillan	WR	CAR	17	925	54	87	0	13	8	13
DeVonta Smith	WR	PHI	17	888	52	84	0	13	9	13
Joe Flacco	QB	CIN	13	690	53	78	3	0	63	63
Tua Tagovailoa	QB	MIA	14	778	56	96	3	0	52	52
Marvin Harrison Jr.	WR	ARI	12	566	47	72	0	13	7	13
Alec Pierce	WR	IND	15	813	54	86	0	10	6	10
Samaje Perine	RB	CIN	15	346	23	35	24	6	29	30
Courtland Sutton	WR	DEN	17	975	57	86	0	13	8	13
Devin Neal	RB	NO	9	268	30	45	21	7	28	28
Wan'Dale Robinson	WR	NYG	16	973	61	91	0	14	10	15
Evan Engram	TE	DEN	16	458	29	42	0	17	11	17
Michael Penix Jr.	QB	ATL	9	553	61	93	4	0	54	54
KaVontae Turpin	WR	DAL	15	380	25	35	4	10	11	14
Rashid Shaheed	WR	SEA	18	705	39	61	1	13	10	14
Jameson Williams	WR	DET	17	992	58	90	1	10	7	11
Shedeur Sanders	QB	CLE	8	428	54	92	5	0	54	54
Geno Smith	QB	LV	15	863	58	97	5	0	57	57
Emeka Egbuka	WR	TB	17	886	52	78	0	14	7	15
